#separator:Comma
#html:false
#tags column:4
мен,я,Мен китеп окуйм,a1 verified pronoun
сен,ты,Сен кайда барасың,a1 verified pronoun
сиз,Вы (вежливо),Сиз кандай жашайсыз,a1 verified pronoun
ал,он; она; оно,Ал мектепте окуйт,a1 verified pronoun
биз,мы,Биз үйгө барабыз,a1 verified pronoun
силер,вы (мн.),Силер кайда барасыңар,a1 verified pronoun
сиздер,Вы (вежл. мн.),Сиздер кайда турасыздар,a1 verified pronoun
алар,они,Алар кечээ келишти,a1 verified pronoun
өз,свой; сам,Өз ишиңди өзүң кыл,a1 verified pronoun
меники,мой,Бул китеп меники,a1 verified pronoun
сеники,твой,Бул дептер сеники,a1 verified pronoun
биздики,наш,Бул үй биздики,a1 verified pronoun
бул,этот; это,Бул менин үйүм,a1 verified pronoun
ушул,этот (самый),Ушул жерде күтө тур,a1 verified pronoun
ошол,тот (самый),Ошол киши келди,a1 verified pronoun
тигил,тот (дальний),Тигил тоо абдан бийик,a1 verified pronoun
мына,вот,Мына сенин китебиң,a1 verified particle
ушундай,такой,Ушундай китеп мага керек,a1 verified pronoun
ошондой,такой; подобный,Ошондой болбошу керек,a1 verified pronoun
ким,кто,Бул киши ким,a1 verified pronoun
эмне,что,Эмне болуп кетти,a1 verified pronoun
кайсы,который,Кайсы китеп сеники,a1 verified pronoun
канча,сколько,Канча акча керек,a1 verified pronoun
кандай,какой; как,Кандай китеп окуйсуң,a1 verified pronoun
кимдики,чей,Бул сумка кимдики,a1 verified pronoun
кайда,где; куда,Сен кайда барасың,a1 verified adverb
качан,когда,Качан үйгө келесиң,a1 verified adverb
кантип,как,Кантип муну жасайсың,a1 verified adverb
неге,почему,Неге мага келбедиң,a1 verified adverb
эмнеге,почему,Эмнеге бүгүн ыйлайсың,a1 verified adverb
канчанчы,который (по счёту),Канчанчы кабатта турасың,a1 verified number
бирөө,кто-то; один,Бирөө сени издеди,a1 verified pronoun
бирдеме,что-то,Бирдеме айтчы мага,a1 verified pronoun
бир нече,несколько,Бир нече күн өттү,a1 verified pronoun
ар ким,каждый; всякий,Ар ким муну билет,a1 verified pronoun
ар бир,каждый,Ар бир бала келди,a1 verified pronoun
ар кандай,всякий; разный,Ар кандай китеп бар,a1 verified pronoun
кээ бир,некоторые,Кээ бир күндөрү жаайт,a1 verified pronoun
баары,все,Баары чогуу келди,a1 verified pronoun
бардык,все; весь,Бардык бала окуйт,a1 verified pronoun
бүт,весь; целиком,Бүт шаар уктап жатат,a1 verified pronoun
кимдир бирөө,кто-то,Кимдир бирөө сени чакырды,a1 verified pronoun
эч ким,никто,Эч ким келген жок,a1 verified pronoun
эч нерсе,ничто; ничего,Эч нерсе билбейм,a1 verified pronoun
эч кайда,нигде; никуда,Эч кайда барбадым,a1 verified adverb
эч качан,никогда,Эч качан унутпайм,a1 verified adverb
эч кандай,никакой,Эч кандай маселе жок,a1 verified pronoun
менен,с; вместе с,Досум менен келдим,a1 verified postposition
