#separator:Comma
#html:false
#tags column:3
Саламатсызбы!,Здравствуйте!,week01 phrases
Салам!,Привет!,week01 phrases
Кандайсыз?,Как дела? (вежливо),week01 phrases
Кандайсың?,Как дела? (на ты),week01 phrases
Жакшы; рахмат,Хорошо; спасибо,week01 phrases
Рахмат!,Спасибо!,week01 phrases
Чоң рахмат!,Большое спасибо!,week01 phrases
Эч нерсе эмес,Не за что,week01 phrases
Кечиресиз,Извините,week01 phrases
Сураныч,Пожалуйста (просьба),week01 phrases
Ооба,Да,week01 phrases
Жок,Нет,week01 phrases
Кош болуңуз!,До свидания!,week01 phrases
Көрүшкөнчө!,До встречи!,week01 phrases
Менин атым — ...,Меня зовут ...,week01 phrases
Сиздин атыңыз ким?,Как вас зовут?,week01 phrases
Таанышканыма кубанычтамын,Рад познакомиться,week01 phrases
Болот,Можно; ладно; хорошо,week01 phrases
Болбойт,Нельзя,week01 phrases
Мейли,Ладно,week01 phrases
Азамат!,Молодец!,week01 phrases
Түшүнбөдүм,Я не понял,week01 phrases
Кайталаңызчы,Повторите пожалуйста,week01 phrases
Жайыраак сүйлөңүзчү,Говорите помедленнее пожалуйста,week01 phrases
мен,я,week01 pronouns
сен,ты,week01 pronouns
сиз,вы (вежливо),week01 pronouns
ал,он; она; оно,week01 pronouns
биз,мы,week01 pronouns
силер,вы (мн.ч.),week01 pronouns
сиздер,вы (мн.ч. вежливо),week01 pronouns
алар,они,week01 pronouns
бул,это; этот,week01 pronouns
ошол,тот,week01 pronouns
тигил,вон тот,week01 pronouns
өзү,сам,week01 pronouns
баары,все; всё,week01 pronouns
эч ким,никто,week01 pronouns
эч нерсе,ничто; ничего,week01 pronouns
башка,другой,week01 pronouns
ар бир,каждый,week01 pronouns
ким?,кто?,week01 questions
эмне?,что?,week01 questions
бир,один,week01 numbers
эки,два,week01 numbers
үч,три,week01 numbers
төрт,четыре,week01 numbers
беш,пять,week01 numbers
алты,шесть,week01 numbers
жети,семь,week01 numbers
сегиз,восемь,week01 numbers
тогуз,девять,week01 numbers
он,десять,week01 numbers
бар,есть; имеется,week01 basics
жок (нет),нет; не имеется,week01 basics
жакшы,хороший; хорошо,week01 basics
жаман,плохой; плохо,week01 basics
чоң,большой,week01 basics
кичине,маленький,week01 basics
жаңы,новый,week01 basics
эски,старый (о вещах),week01 basics
бул жерде,здесь,week01 basics
ал жерде,там,week01 basics
да,тоже; и,week01 basics
эмес,не (отрицание при имени),week01 basics
нерсе,вещь; штука,week01 basics
адам,человек,week01 basics
киши,человек; некто,week01 basics
эл,народ; люди,week01 basics
болуу,быть; становиться,week02 verbs
