ранг,слово,частота,доля_%,накопит_%,перевод_на_русский,часть_речи,лемма_основа,примечание
1,да,5884,1.5488,1.549,"и, тоже, же (усилит.)",частица / союз,да,постпозитивная усилит. частица
2,бир,3653,0.9615,2.51,один; какой-то,числительное / артикль,бир,часто как неопр. артикль «какой-то»
3,менен,3517,0.9257,3.436,"с, вместе с",послелог,менен,послелог совместности/орудия
4,эле,3342,0.8797,4.316,было; же (усилит.),частица,эле,прош. связка / выделит. частица
5,деп,3252,0.856,5.172,"говоря, сказав; чтобы",деепричастие,де-,цитатное деепр. от «де-» (говорить)
6,ал,2417,0.6362,5.808,он/она/оно; тот,местоимение,ал,"омоним: глагол «ал-» (бери, возьми)"
7,мен,2309,0.6078,6.416,я,местоимение,мен,личн. мест. 1 л. ед.
8,жок,2071,0.5451,6.961,нет; отсутствует,предикатив / частица,жок,отрицание существования
9,бирок,1765,0.4646,7.425,"но, однако",союз,бирок,противит. союз
10,болуп,1652,0.4348,7.86,"будучи, став",деепричастие,бол-,деепр. от «бол-» (быть/становиться)
11,эмне,1625,0.4277,8.288,что,местоимение,эмне,вопросит. местоимение
12,бул,1363,0.3588,8.647,"этот, это",местоимение,бул,указат. местоимение
13,экен,1299,0.3419,8.989,оказывается; есть,частица / связка,э-,эвиденциальная связка
14,болсо,1225,0.3224,9.311,если будет; а что касается,глагол / частица,бол-,условн. форма; тематич. частица
15,эмес,1144,0.3011,9.612,не (есть),частица,эмес,отрицат. связка
16,а,1128,0.2969,9.909,а,союз,а,противит./соединит. союз
17,үчүн,1109,0.2919,10.201,"для, ради, чтобы",послелог,үчүн,послелог цели
18,алып,1074,0.2827,10.484,"взяв, неся",деепричастие,ал-,деепр. от «ал-» (брать)
19,анан,1059,0.2788,10.763,"потом, затем; и",наречие / союз,анан,временное наречие
20,бар,1051,0.2766,11.039,"есть, имеется; иди",предикатив / глагол,бар,омоним: повел. «бар-» (иди)
21,деген,1030,0.2711,11.31,названный; так называемый,причастие,де-,прич. от «де-»
22,эми,1021,0.2687,11.579,"теперь, сейчас; ну",наречие,эми,временное наречие
23,айтматов,995,0.2619,11.841,Айтматов,имя собственное,Айтматов,фамилия автора (в посвящениях)
24,чыңгыз,983,0.2587,12.1,Чингиз,имя собственное,Чыңгыз,имя автора (в посвящениях)
25,карата,980,0.258,12.358,"по отношению к, к",послелог / наречие,карата,частота завышена посвящением «...жылдыгына карата»
26,жылдыгына,969,0.2551,12.613,"к годовщине, к юбилею",существительное (форма),жылдык,дат. падеж; из посвящения на каждом томе
27,дагы,968,0.2548,12.868,"ещё, тоже, опять",наречие / частица,дагы,аддитивная частица
28,ошол,956,0.2516,13.119,тот (самый),местоимение,ошол,указат. местоимение (дальн.)
29,сен,924,0.2432,13.362,ты,местоимение,сен,личн. мест. 2 л. ед.
30,анын,918,0.2416,13.604,"его, её",местоимение,ал,род. падеж от «ал»
31,өзү,874,0.2301,13.834,"сам, себя",местоимение,өз,возвр. мест. + притяж. 3 л.
32,болду,868,0.2285,14.063,стал; случилось; хватит,глагол,бол-,прош. вр. от «бол-»
33,аны,852,0.2243,14.287,"его, её",местоимение,ал,вин. падеж от «ал»
34,калды,839,0.2208,14.508,остался; оказался,глагол,кал-,прош. вр. от «кал-»
35,эки,827,0.2177,14.725,два,числительное,эки,количеств. числ.
36,турган,820,0.2158,14.941,стоящий; постоянный,причастие,тур-,прич. от «тур-»; часто вспомог.
37,керек,811,0.2135,15.155,"нужно, необходимо",предикатив,керек,модальный предикатив
38,мына,805,0.2119,15.367,вот,частица / наречие,мына,указат. частица
39,гана,803,0.2114,15.578,"только, лишь",частица,гана,ограничит. частица
40,кандай,801,0.2108,15.789,какой; как,местоимение / наречие,кандай,вопросит.-определит.
41,эч,793,0.2087,15.998,"ни, никакой",местоимение / частица,эч,с отрицанием: «ничего/никакой»
42,менин,782,0.2058,16.203,мой,местоимение,мен,род. падеж от «мен»
43,кайра,761,0.2003,16.404,"обратно, снова",наречие,кайра,наречие повторности
